driver          AUS     CHN     BHR     RUS     ESP     MON     CAN     AZE     AUT     GBR     HUN     BEL     ITA     SIN     MAL     JPN     USA     MEX     BRA     ABU   points    
Hamilton        2 	1 	2 	4 	1 	7 	1 	5 	4 	1 	4 	1 	1 	1 	2 	1 	1 	9 	4 	2     363	
Vettel          1 	2 	1 	2 	2 	1 	4 	4 	2 	7 	1 	2 	3 	Ret 	4 	Ret 	2 	4 	1 	3     317
Bottas 	        3 	6 	3 	1 	Ret 	4 	2 	2 	1 	2 	3 	5 	2 	3 	5 	4 	5 	2 	2 	1     305
Raikkanen 	4 	5 	4 	3 	Ret 	2 	7 	14 	5 	3 	2 	4 	5 	Ret 	DNS 	5 	3 	3 	3 	4     205
Ricciardo 	Ret 	4 	5 	Ret 	3 	3 	3 	1 	3 	5 	Ret 	3 	4 	2 	3 	3 	Ret 	Ret 	6 	Ret   200	
Verstappen 	5 	3 	Ret 	5 	Ret 	5 	Ret 	Ret 	Ret 	4 	5 	Ret 	10 	Ret 	1 	2 	4 	1 	5 	5     168
Perez 	        7 	9 	7 	6 	4 	13 	5 	Ret 	7 	9 	8 	17 	9 	5 	6 	7 	8 	7 	9 	7     100	
Ocon 	        10 	10 	10 	7 	5 	12 	6 	6 	8 	8 	9 	9 	6 	10 	10 	6 	6 	5 	Ret 	8     87	
Sainz 	        8 	7 	Ret 	10 	7 	6 	Ret 	8 	Ret 	Ret 	7 	10 	14 	4 	Ret 	Ret 	7 	Ret 	11 	Ret   54
Hulkenberg 	11 	12 	9 	8 	6 	Ret 	8 	Ret 	13 	6 	17 	6 	13 	Ret 	16 	Ret 	Ret 	Ret 	10 	6     43	
Massa 	        6 	14 	6 	9 	13 	9 	Ret 	Ret 	9 	10 	WD 	8 	8 	11 	9 	10 	9 	11 	7 	10    43
Stroll 	        Ret 	Ret 	Ret 	11 	16 	15 	9 	3 	10 	16 	14 	11 	7 	8 	8 	Ret 	11 	6 	16 	18    40
Grosjean 	Ret 	11 	8 	Ret 	10 	8 	10 	13 	6 	13 	Ret 	7 	15 	9 	13 	9 	14 	15 	15 	11    28
Magnussen 	Ret 	8 	Ret 	13 	14 	10 	12 	7 	Ret 	12 	13 	15 	11 	Ret 	12 	8 	16 	8 	Ret 	13    19
Alonso 	        Ret 	Ret 	14 	DNS 	12 	0	16 	9 	Ret 	Ret 	6 	Ret 	17	Ret 	11 	11 	Ret 	10 	8 	9     17
Vandoorne 	13 	Ret 	DNS 	14 	Ret 	Ret 	14 	12 	12 	11 	10 	14 	Ret 	7 	7 	14 	12 	12 	Ret 	12    13
Palmer 	        Ret 	13 	13 	Ret 	15 	11 	11 	Ret 	11 	DNS 	12 	13 	Ret 	6 	15 	12 	0        0      0       0     8 
Wehrlein 	WD 	0	11 	16 	8 	Ret 	15 	10 	14 	17 	15 	Ret 	16 	12 	17 	15 	Ret 	14 	14 	14    5
Kvyat 	        9 	Ret 	12 	12 	9 	14 	Ret 	Ret 	16 	15 	11 	12 	12 	Ret 	0	0	10 	0	0	0     0
Ericsson 	Ret 	15 	Ret 	15 	11 	Ret 	13 	11 	15 	14 	16 	16 	18	Ret 	18 	Ret 	15 	Ret 	13 	17    0
Gasly 		0       0       0       0       0       0       0       0       0       0       0       0       0       0       14 	13 	0	13 	12 	16    0	
Giovinazzi 	12 	Ret 	0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0     0
Hartley         0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       13 	Ret 	Ret 	15    0
Button          0       0       0       0       0       Ret     0       0       0       0       0       0       0       0       0       0       0       0       0       0     0
Resta 		0       0       0       0       0       0       0       0       0       0       Ret     0       0       0       0       0       0       0       0       0     0
