Subject	Comp	RT	Error
1	incomp	451.400105	0
1	incomp	534.88539	0
1	incomp	468.089984	0
1	comp	434.684681	0
1	comp	384.700501	0
1	incomp	434.764888	0
1	comp	334.695003	0
1	incomp	568.297542	0
1	comp	451.432521	0
1	comp	384.486495	0
1	incomp	368.077211	1
1	comp	484.766085	0
1	comp	367.995486	0
1	incomp	434.828407	0
1	incomp	384.619223	0
1	comp	384.688945	0
1	incomp	317.938346	0
1	comp	434.705252	0
1	incomp	401.341737	0
1	comp	351.389141	0
1	incomp	434.629171	0
1	incomp	368.017257	0
1	comp	468.13602	0
1	incomp	434.816537	0
1	comp	384.660413	0
1	incomp	401.41477	0
1	comp	384.722205	0
1	comp	434.749768	0
1	incomp	484.831021	0
1	incomp	468.108503	0
1	comp	418.089892	0
1	comp	484.833733	0
1	comp	384.747658	0
1	comp	351.346403	0
1	comp	434.78153	0
1	comp	401.409732	0
1	incomp	418.096129	0
1	comp	418.120248	0
1	incomp	418.03291	0
1	incomp	401.342452	0
1	incomp	368.024814	0
1	incomp	334.666425	0
1	comp	367.998105	0
1	incomp	384.771448	0
1	incomp	384.735985	0
1	incomp	384.758661	0
1	incomp	334.697175	0
1	incomp	367.968417	0
1	comp	334.62865	0
1	incomp	367.934291	0
1	incomp	451.118016	0
1	comp	434.881327	0
1	comp	334.682648	0
1	comp	384.675906	0
1	comp	351.346034	0
1	comp	451.501989	0
1	comp	351.370385	0
1	incomp	468.189909	0
1	comp	451.474777	0
1	incomp	518.171398	0
1	comp	484.724894	0
1	incomp	401.34444	0
1	comp	468.142251	0
1	comp	418.117907	0
1	incomp	418.025111	0
1	incomp	384.690957	0
1	incomp	351.459155	0
1	comp	468.13987	0
1	incomp	484.886822	0
1	incomp	368.004014	0
1	incomp	384.616205	0
1	incomp	384.657826	0
1	comp	384.689954	0
1	incomp	418.108944	0
1	comp	568.251351	0
1	incomp	368.084078	0
1	comp	484.785606	0
1	incomp	451.382488	0
1	comp	468.096281	0
1	incomp	418.07636	0
1	incomp	484.80362	0
1	comp	401.43354	0
1	comp	401.388202	0
1	incomp	418.080659	0
1	incomp	434.776558	0
1	incomp	417.996332	0
1	comp	451.502393	0
1	comp	401.433656	0
1	incomp	418.171125	0
1	comp	434.797059	0
1	comp	801.82303	0
1	comp	368.043822	0
1	comp	451.433216	0
1	comp	418.025308	0
1	incomp	384.76105	0
1	comp	368.011879	0
1	comp	384.690209	0
1	comp	351.339983	0
1	incomp	484.767957	0
1	incomp	318.039299	0
1	comp	401.443725	0
1	incomp	334.777792	1
1	comp	368.089632	0
1	incomp	384.64763	0
1	comp	318.005691	0
1	incomp	468.124922	0
1	incomp	384.704245	0
1	comp	350.999806	0
1	comp	334.670881	0
1	incomp	434.659467	0
1	comp	351.342328	0
1	incomp	434.735836	0
1	comp	484.833089	0
1	incomp	451.485049	0
1	comp	468.105494	0
1	comp	317.96341	0
1	comp	351.37983	0
1	comp	351.390305	0
1	comp	284.657182	0
1	incomp	401.284929	0
1	comp	351.218942	1
1	comp	368.076924	0
1	comp	317.976885	0
1	comp	334.702374	0
1	incomp	401.390114	0
1	comp	334.595304	0
1	comp	401.361036	0
1	incomp	451.424943	0
1	incomp	468.123952	0
1	incomp	384.681855	0
1	comp	351.400454	0
1	incomp	384.660477	0
1	comp	334.68783	1
1	incomp	401.358009	0
1	comp	351.391368	0
1	incomp	317.946763	0
1	comp	401.313178	0
1	comp	484.808488	0
1	incomp	401.375409	0
1	comp	368.018238	0
1	incomp	418.182143	0
1	comp	317.926812	0
1	incomp	468.172779	0
1	comp	418.11582	0
1	incomp	417.958198	0
1	incomp	401.382038	0
1	comp	468.093939	0
1	comp	401.436705	0
1	incomp	468.068028	0
1	incomp	368.039697	0
1	incomp	568.261812	0
1	incomp	401.425853	0
1	incomp	518.168368	0
1	comp	484.840729	0
1	incomp	468.151445	0
1	incomp	351.347421	0
1	comp	401.395717	0
1	incomp	351.311783	0
1	incomp	351.266476	0
1	incomp	434.669616	0
1	comp	501.467112	0
1	incomp	434.57024	0
1	comp	568.243991	0
1	incomp	534.917155	0
1	incomp	384.732344	0
1	comp	401.339672	0
1	comp	434.822556	0
1	incomp	401.464461	0
1	comp	351.367348	0
1	incomp	401.360076	0
1	incomp	334.699831	0
1	incomp	334.619807	0
1	comp	317.695467	0
1	comp	384.592833	0
1	comp	267.919873	0
1	incomp	368.068802	0
1	comp	351.293478	0
1	comp	334.674302	0
1	incomp	418.067797	0
1	incomp	284.596674	0
1	comp	368.084715	0
1	incomp	368.043115	0
1	comp	401.264385	0
1	comp	301.377155	0
1	comp	284.617341	0
1	incomp	351.334975	0
1	incomp	351.340482	0
1	comp	301.160039	0
1	incomp	401.340994	0
1	comp	301.276879	0
1	incomp	384.712229	0
1	comp	301.015682	0
1	comp	334.571946	0
1	incomp	367.987859	0
1	comp	368.008134	0
1	comp	317.97501	0
1	incomp	368.037579	0
1	incomp	317.944162	0
1	incomp	351.347238	0
1	comp	418.099548	0
1	incomp	434.669463	0
1	incomp	368.078239	0
1	incomp	467.805433	0
1	comp	384.766871	0
1	incomp	401.44799	0
1	incomp	451.505644	0
1	comp	401.420427	1
1	comp	418.085261	0
1	comp	451.352548	0
1	comp	401.43719	1
1	incomp	351.367591	1
1	comp	518.139261	0
1	incomp	401.378032	0
1	incomp	334.702571	0
1	comp	384.604544	0
1	comp	401.325759	0
1	comp	351.397108	0
1	incomp	334.666951	0
1	incomp	334.719895	0
