Sex,Name,Born,Died
F,Betsy Baker,8/20/1842,10/24/1955
F,Jennie Howell,2/11/1845,12/16/1956
F,Anne Marie Carstenson,1/24/1849,3/30/1958
F,Nancy Ryan,9/5/1849,10/17/1958
F,Christina Karnebeek-Backs,10/2/1849,10/7/1959
F,Marie Olsen,5/1/1850,11/24/1959
F,Mary Kelly,6/7/1851,12/30/1964
F,Elizabeth Kensley,5/12/1855,3/6/1965
M,William Fullingim,7/7/1855,8/6/1965
F,Hannah Smith,1/7/1856,1/10/1966
M,John Turner,6/15/1856,3/21/1968
F,Johanna Booysen,1/17/1857,6/16/1968
F,Marie Bernatkova,10/22/1857,5/4/1969
F,Ada Roe,2/6/1858,1/11/1970
F,Josefa Salas Mateo,7/14/1860,2/27/1973
F,Alice Stevenson,7/10/1861,8/18/1973
F,Elizabeth Watkins,3/10/1863,10/31/1973
F,Mito Umeta,3/27/1863,5/31/1975
F,Niwa Kawamoto,8/5/1863,11/16/1976
F,Sophia De Muth,6/30/1866,12/2/1977
F,Marie-Virginie Duhem,8/2/1866,4/25/1978
F,Fannie Thomas,4/14/1867,1/22/1981
F,Augustine Teissier,1/2/1869,3/8/1981
F,Nellie Spencer,8/24/1869,11/13/1982
F,Emma Wilson,5/12/1870,10/13/1983
M,Mathew Beard,7/9/1870,2/16/1985
F,Augusta Holtz,8/3/1871,10/21/1986
F,Mary McKinney,5/30/1873,2/2/1987
F,Anna Eliza Williams,6/2/1873,12/27/1987
F,Florence Knapp,10/10/1873,1/11/1988
F,Jeanne Calment,2/21/1875,8/4/1997
F,Marie-Louise Meilleur,8/29/1880,4/16/1998
F,Sarah Knauss,9/24/1880,12/30/1999
F,Eva Morris,11/8/1885,11/2/2000
F,Marie Bremont,4/25/1886,6/6/2001
F,Maud Farris-Luse,1/21/1887,3/18/2002
F,Grace Clawson,11/15/1887,5/28/2002
F,Adelina Domingues,2/19/1888,8/21/2002
F,Mae Harrington,1/20/1889,12/29/2002
M,Yukichi Chuganji,3/23/1889,9/28/2003
F,Mitoyo Kawate,5/15/1889,11/13/2003
F,Ramona Trinidad Iglesias-Jordan,8/31/1889,5/29/2004
F,Maria Esther de Capovilla,9/14/1889,8/27/2006
F,Elizabeth Bolden,8/15/1890,12/11/2006
M,Emiliano Mercado Del Toro,8/21/1891,1/24/2007
F,Emma Tillman,11/22/1892,1/28/2007
F,Yone Minagawa,1/4/1893,8/13/2007
F,Edna Parker,4/20/1893,11/26/2008
F,Maria de Jesus,9/10/1893,1/2/2009
F,Gertrude Baines,4/6/1894,9/11/2009
F,Kama Chinen,5/10/1895,5/2/2010
F,Eugenie Blanchard,2/16/1896,11/4/2010
F,Maria Gomes Valentim,7/9/1896,6/21/2011
F,Besse Cooper,8/26/1896,12/4/2012
F,Dina Manfredini,4/4/1897,12/17/2012
M,Jiroemon Kimura,4/19/1897,6/12/2013
F,Misao Okawa,3/5/1898,4/1/2015
F,Gertrude Weaver,7/4/1898,4/6/2015
F,Jeralean Talley,5/23/1899,6/17/2015
F,Susannah Mushatt Jones,7/6/1899,5/12/2016
F,Emma Morano,11/29/1899,4/15/2017
F,Violet Brown,3/10/1900,9/15/2017
F,Nabi Tajima,8/4/1900,4/21/2018
F,Chiyo Miyako,5/2/1901,7/22/2018
