"id","group","name","type","kanji.name","kana.name","lat.d","lat.m","lon.d","lon.m","height","rem1","rem2","rem3","rem4","rem5"
47401,11,"Watsukanai","s1","稚内","ワツカナイ",45,24.9,141,40.7,2.8,"","","",NA,NA
2,11,"Kutsugata","a1","沓形","クツガタ",45,10.7,141,8.3,14,"","","",NA,NA
3,11,"Hamatonbetsu","a1","浜頓別","ハマトンベツ",45,7.5,142,21,18,"","","",NA,NA
47402,11,"Kitamiesashi","s1","北見枝幸","キタミエサシ",44,56.4,142,35.1,6.7,"","","",NA,NA
5,11,"Utanobori","a1","歌登","ウタノボリ",44,50.5,142,28.8,14,"","","",NA,NA
1051,11,"Nakatonbetsu","a1","中頓別","ナカトンベツ",44,57.9,142,16.8,25,"","","",NA,NA
1054,11,"Toyotomi","a1","豊富","トヨトミ",45,6.4,141,45.9,16,"","","",NA,NA
1203,11,"Numakawa","a1","沼川","ヌマカワ",45,14.9,141,51.1,23,"","","",NA,NA
1207,11,"Funadomari","a1","船泊","フナドマリ",45,26.2,141,2.1,8,"","","",NA,NA
1284,11,"Souyamisaki","a1","宗谷岬","ソウヤミサキ",45,31.2,141,56.1,26,"","","",NA,NA
1285,11,"Hamaonishibetsu","a1","浜鬼志別","ハマオニシベツ",45,20.1,142,10.2,13,"","","",NA,NA
1512,11,"Motodomari","a1","本泊","モトドマリ",45,14.5,141,11.2,30,"","","",NA,NA
1528,11,"Koetoi","a1","声問","コエトイ",45,24.2,141,48,8,"","","",NA,NA
1546,11,"Rebun","a1","礼文","レブン",45,18.3,141,2.7,65,"","","",NA,NA
1593,11,"Horodomari","a1","幌泊","ホロドマリ",45,27.3,141,2.3,27,"","","",NA,NA
1573,11,"Horonobe","a1","幌延","ホロノベ",45,0.4,141,51.1,5,"","","",NA,NA
1656,11,"Rebunuedomarisaki","a1","礼文上泊埼","レブンウエドマリサキ",45,25.4,141,3.9,13,"","","",NA,NA
6,12,"Bifuka","a1","美深","ビフカ",44,28.8,142,20.5,77,"","","",NA,NA
7,12,"Piyashiriyama","a1","ピヤシリ山","ピヤシリヤマ",44,26.1,142,34.9,980,"","","",NA,NA
8,12,"Nayoro","a1","名寄","ナヨロ",44,22.2,142,27.4,89,"","","",NA,NA
9,12,"Nishifuuren","a1","西風連","ニシフウレン",44,17.7,142,21.5,128,"2000年11月30日までの地点名「雨竜」","","",NA,NA
10,12,"Shimokawa","a1","下川","シモカワ",44,18.1,142,37.4,140,"","","",NA,NA
11,12,"Shibetsu","a1","士別","シベツ",44,11.2,142,25,135,"","","",NA,NA
12,12,"Inuushibetsutouge","a1","犬牛別峠","イヌウシベツトウゲ",44,4.2,142,16.2,410,"","","",NA,NA
13,12,"Otakamine","a1","雄鷹峰","オタカミネ",43,57.2,142,19.2,305,"","","",NA,NA
14,12,"Houraizan","a1","蓬莱山","ホウライザン",43,54.8,142,35,320,"","","",NA,NA
15,12,"Kamikawa","a1","上川","カミカワ",43,50.8,142,45.2,324,"","","",NA,NA
47407,12,"Asahikawa","s1","旭川","アサヒカワ",43,45.4,142,22.3,119.8,"","","",NA,NA
17,12,"Mizuho","a1","瑞穂","ミズホ",43,44.2,142,38.3,289,"","","",NA,NA
18,12,"Owarizawa","a1","終沢","オワリザワ",43,37.8,142,20.1,550,"","","",NA,NA
19,12,"Asahidake","a1","旭岳","アサヒダケ",43,39.7,142,49.6,1620,"","","",NA,NA
20,12,"Shirogane","a1","白金","シロガネ",43,28.5,142,38.9,650,"","","",NA,NA
21,12,"Furano","a1","富良野","フラノ",43,20,142,24,174,"","","",NA,NA
22,12,"Maefuranodake","a1","前富良野岳","マエフラノダケ",43,22.6,142,34.1,746,"","","",NA,NA
23,12,"Maeshigureyama","a1","前時雨山","マエシグレヤマ",43,11.1,142,20.8,380,"","","",NA,NA
1047,12,"Asahi","a1","朝日","アサヒ",44,7.1,142,35.7,225,"","","",NA,NA
1048,12,"Pippu","a1","比布","ピップ",43,52.5,142,28.8,175,"","","",NA,NA
1049,12,"Souunkyou","a1","層雲峡","ソウウンキョウ",43,45.2,142,55.8,540,"","","",NA,NA
1052,12,"Biei","a1","美瑛","ビエイ",43,35.3,142,29.6,250,"","","",NA,NA
