surv	failure_type   x1         x2
0.223079   1.000000   3.674408   0.000000   
1.048241   1.000000   1.960909   1.000000   
0.430569   1.000000   1.451752   0.000000   
1.770631   2.000000   1.632412   1.000000   
0.464421   1.000000   1.793521   1.000000   
1.797200   1.000000   1.773827   0.000000   
1.996422   1.000000   1.096994   0.000000   
0.650197   1.000000   2.539956   0.000000   
1.836310   2.000000   2.336491   1.000000   
1.802831   1.000000   3.316748   0.000000   
0.598487   0.000000   3.756279   0.000000   
2.639423   2.000000   1.386101   1.000000   
0.552527   1.000000   3.877431   0.000000   
0.317712   1.000000   4.017325   0.000000   
2.024503   2.000000   1.617531   1.000000   
0.149624   1.000000   3.726782   0.000000   
0.030736   1.000000   2.285986   0.000000   
0.377192   2.000000   1.604314   0.000000   
3.881328   1.000000   1.544886   1.000000   
2.628527   1.000000   1.823826   1.000000   
0.894807   2.000000   2.012833   0.000000   
5.000000   0.000000   2.283450   1.000000   
4.020053   1.000000   2.398546   1.000000   
0.502926   2.000000   4.052129   1.000000   
0.995674   2.000000   2.545795   0.000000   
2.695886   2.000000   0.306044   0.000000   
1.126076   1.000000   2.774549   0.000000   
2.206089   1.000000   1.782977   1.000000   
4.010587   2.000000   1.352440   1.000000   
3.508324   2.000000   1.642800   0.000000   
