"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
1 2 1 1 1 73 2 1 2 1 1 64
1 3 2 1 1 95 5 1 2 1 1 64
1 4 1 1 1 16 9 1 2 1 1 64
2 2 1 2 1 58 2 1 2 2 1 60
2 3 1 2 1 30 3 1 2 2 1 60
3 2 1 1 1 39 2 1 2 1 1 30
4 2 1 1 1 95 2 1 2 1 1 89
5 2 2 1 1 60 11 1 1 1 1 56
6 2 2 1 1 35 2 1 1 1 1 36
6 3 2 1 1 15 3 1 1 1 1 36
6 4 2 1 1 12 3 1 1 1 1 36
7 2 2 1 1 58 2 1 1 1 1 71
8 2 1 1 1 45 2 1 2 1 5 47
8 3 1 1 1 14 3 1 2 1 5 47
9 2 1 1 1 32 2 1 2 1 1 34
9 3 1 1 1 13 3 1 2 1 1 34
9 4 2 1 1 8 3 1 2 1 1 34
10 2 2 1 1 26 3 1 2 1 1 58
11 2 2 7 5 36 2 2 1 7 5 46
12 2 2 1 1 66 2 1 1 1 1 70
13 2 2 6 1 73 12 2 1 6 1 69
14 2 2 2 1 19 10 2 2 2 1 46
15 2 2 1 1 79 2 1 1 1 1 85
16 2 1 2 1 46 3 1 1 2 1 77
17 2 2 1 1 59 2 1 1 1 1 62
18 2 2 1 1 69 2 1 1 1 1 68
19 2 1 1 1 52 2 1 2 1 1 52
20 2 2 6 1 36 2 1 1 6 1 43
20 3 1 6 1 13 3 1 1 6 1 43
21 2 1 1 1 34 2 2 2 1 1 30
21 3 1 1 1 11 3 2 2 1 1 30
21 4 1 1 1 9 3 2 2 1 1 30
21 5 2 1 1 5 3 2 2 1 1 30
22 2 1 1 1 33 12 1 2 1 1 27
23 2 2 1 1 45 2 1 1 1 1 59
24 2 2 3 1 51 2 1 1 1 1 40
24 3 1 3 2 5 9 1 1 1 1 40
24 4 1 3 2 3 9 1 1 1 1 40
24 5 1 3 2 34 10 1 1 1 1 40
25 2 1 1 1 64 2 1 2 1 1 63
26 2 2 1 1 46 2 1 1 1 5 48
26 3 1 1 5 20 3 1 1 1 5 48
