Run Number,Trace Number,Object.Slot,Timestep,Slot Value,Unit,Year,Month,Demand,IC,MRM Config,Model,Policy,Scenario
1,4,Mead.Pool Elevation,01-31-2018 23:59:00,1079.67,ft,2018,January,2007Dems,2002,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,2002"
1,4,Mead.Pool Elevation,02-28-2018 23:59:00,1079.52,ft,2018,February,2007Dems,2002,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,2002"
1,4,Mead.Pool Elevation,03-31-2018 23:59:00,1078.03,ft,2018,March,2007Dems,2002,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,2002"
1,4,Mead.Pool Elevation,04-30-2018 23:59:00,1075.49,ft,2018,April,2007Dems,2002,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,2002"
1,4,Mead.Pool Elevation,05-31-2018 23:59:00,1074.09,ft,2018,May,2007Dems,2002,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,2002"
1,4,Mead.Pool Elevation,06-30-2018 23:59:00,1073.03,ft,2018,June,2007Dems,2002,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,2002"
1,4,Mead.Pool Elevation,07-31-2018 23:59:00,1071.9,ft,2018,July,2007Dems,2002,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,2002"
1,4,Mead.Pool Elevation,08-31-2018 23:59:00,1072.83,ft,2018,August,2007Dems,2002,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,2002"
1,4,Mead.Pool Elevation,09-30-2018 23:59:00,1072.91,ft,2018,September,2007Dems,2002,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,2002"
1,4,Mead.Pool Elevation,10-31-2018 23:59:00,1073.82,ft,2018,October,2007Dems,2002,ISM1988_2014,Apr2017_2018_2.5.1.9000,IG,"ISM1988_2014,2007Dems,IG,2002"
