"Version","index","questions_original","question_original","questions","question","choices_original","(choice|CorrectChoice)_original","choices","choice","CorrectChoice"
"0","1","1","1","1","1","1","1","1","1",""
"0","2","1","1","1","1","1","2","1","2",""
"0","3","1","1","1","1","1","3","1","3",""
"0","4","1","1","1","1","1","4","1","","4"
"0","5","1","2","1","2","1","1","1","1",""
"0","6","1","2","1","2","1","2","1","2",""
"0","7","1","2","1","2","1","3","1","3",""
"0","8","1","2","1","2","1","4","1","","4"
"0","9","1","3","1","3","1","1","1","1",""
"0","10","1","3","1","3","1","2","1","2",""
"0","11","1","3","1","3","1","3","1","3",""
"0","12","1","3","1","3","1","4","1","","4"
"0","13","1","4","1","4","1","1","1","1",""
"0","14","1","4","1","4","1","2","1","2",""
"0","15","1","4","1","4","1","3","1","3",""
"0","16","1","4","1","4","1","4","1","","4"
"0","17","1","5","1","5","1","1","1","1",""
"0","18","1","5","1","5","1","2","1","2",""
"0","19","1","5","1","5","1","3","1","3",""
"0","20","1","5","1","5","1","4","1","","4"
"0","21","1","6","1","6","1","1","1","1",""
"0","22","1","6","1","6","1","2","1","2",""
"0","23","1","6","1","6","1","3","1","3",""
"0","24","1","6","1","6","1","4","1","","4"
"0","25","1","7","1","7","1","1","1","1",""
"0","26","1","7","1","7","1","2","1","2",""
"0","27","1","7","1","7","1","3","1","3",""
"0","28","1","7","1","7","1","4","1","","4"
"0","29","1","8","1","8","1","1","1","1",""
"0","30","1","8","1","8","1","2","1","2",""
"0","31","1","8","1","8","1","3","1","3",""
"0","32","1","8","1","8","1","4","1","","4"
"0","33","2","1","2","9","1","1","1","1",""
"0","34","2","1","2","9","1","2","1","2",""
"0","35","2","1","2","9","1","3","1","3",""
"0","36","2","1","2","9","1","4","1","","4"
"0","37","2","2","2","10","1","1","1","1",""
"0","38","2","2","2","10","1","2","1","2",""
"0","39","2","2","2","10","1","3","1","3",""
"0","40","2","2","2","10","1","4","1","","4"
"0","41","2","3","2","11","1","1","1","1",""
"0","42","2","3","2","11","1","2","1","","2"
"0","43","2","3","2","11","1","3","1","3",""
"0","44","2","3","2","11","1","4","1","4",""
"0","45","2","4","2","12","1","1","1","","1"
"0","46","2","4","2","12","1","2","1","2",""
"0","47","2","4","2","12","1","3","1","3",""
"0","48","2","4","2","12","1","4","1","4",""
"0","49","2","5","2","13","1","1","1","1",""
"0","50","2","5","2","13","1","2","1","","2"
"0","51","2","5","2","13","1","3","1","3",""
"0","52","2","5","2","13","1","4","1","4",""
"0","53","2","6","2","14","1","1","1","1",""
"0","54","2","6","2","14","1","2","1","2",""
"0","55","2","6","2","14","1","3","1","3",""
"0","56","2","6","2","14","1","4","1","","4"
"0","57","2","7","2","15","1","1","1","1",""
"0","58","2","7","2","15","1","2","1","2",""
"0","59","2","7","2","15","1","3","1","3",""
"0","60","2","7","2","15","1","4","1","","4"
"0","61","2","8","2","16","1","1","1","1",""
"0","62","2","8","2","16","1","2","1","2",""
"0","63","2","8","2","16","1","3","1","","3"
"0","64","2","8","2","16","1","4","1","4",""
"0","65","2","9","2","17","1","1","1","1",""
"0","66","2","9","2","17","1","2","1","2",""
"0","67","2","9","2","17","1","3","1","3",""
"0","68","2","9","2","17","1","4","1","","4"
"0","69","2","10","2","18","1","1","1","1",""
"0","70","2","10","2","18","1","2","1","2",""
"0","71","2","10","2","18","1","3","1","3",""
"0","72","2","10","2","18","1","4","1","","4"
"0","73","2","11","2","19","1","1","1","1",""
"0","74","2","11","2","19","1","2","1","2",""
"0","75","2","11","2","19","1","3","1","3",""
"0","76","2","11","2","19","1","4","1","","4"
"0","77","2","12","2","20","1","1","1","1",""
"0","78","2","12","2","20","1","2","1","2",""
"0","79","2","12","2","20","1","3","1","3",""
"0","80","2","12","2","20","1","4","1","","4"
"0","81","2","13","2","21","1","1","1","1",""
"0","82","2","13","2","21","1","2","1","","2"
"0","83","2","13","2","21","1","3","1","3",""
"0","84","2","13","2","21","1","4","1","4",""
"0","85","2","14","2","22","1","1","1","1",""
"0","86","2","14","2","22","1","2","1","2",""
"0","87","2","14","2","22","1","3","1","3",""
"0","88","2","14","2","22","1","4","1","","4"
"0","89","2","15","2","23","1","1","1","1",""
"0","90","2","15","2","23","1","2","1","2",""
"0","91","2","15","2","23","1","3","1","3",""
"0","92","2","15","2","23","1","4","1","","4"
"0","93","2","16","2","24","1","1","1","","1"
"0","94","2","16","2","24","1","2","1","2",""
"0","95","2","16","2","24","1","3","1","3",""
"0","96","2","16","2","24","1","4","1","4",""
"0","97","2","17","2","25","1","1","1","1",""
"0","98","2","17","2","25","1","2","1","2",""
"0","99","2","17","2","25","1","3","1","3",""
"0","100","2","17","2","25","1","4","1","","4"
"0","101","2","18","2","26","1","1","1","1",""
"0","102","2","18","2","26","1","2","1","2",""
"0","103","2","18","2","26","1","3","1","3",""
"0","104","2","18","2","26","1","4","1","","4"
"0","105","2","19","2","27","1","1","1","1",""
"0","106","2","19","2","27","1","2","1","2",""
"0","107","2","19","2","27","1","3","1","3",""
"0","108","2","19","2","27","1","4","1","","4"
"0","109","2","20","2","28","1","1","1","1",""
"0","110","2","20","2","28","1","2","1","2",""
"0","111","2","20","2","28","1","3","1","3",""
"0","112","2","20","2","28","1","4","1","","4"
"0","117","3","2","3","30","1","1","1","1",""
"0","118","3","2","3","30","1","2","1","2",""
"0","119","3","2","3","30","1","3","1","3",""
"0","120","3","2","3","30","1","4","1","","4"
"0","125","3","4","3","32","1","1","1","1",""
"0","126","3","4","3","32","1","2","1","2",""
"0","127","3","4","3","32","1","3","1","3",""
"0","128","3","4","3","32","1","4","1","","4"
"0","129","3","5","3","33","1","1","1","1",""
"0","130","3","5","3","33","1","2","1","","2"
"0","131","3","5","3","33","1","3","1","3",""
"0","132","3","5","3","33","1","4","1","4",""
"0","133","3","6","3","34","1","1","1","1",""
"0","134","3","6","3","34","1","2","1","2",""
"0","135","3","6","3","34","1","3","1","3",""
"0","136","3","6","3","34","1","4","1","","4"
"0","137","3","7","3","35","1","1","1","1",""
"0","138","3","7","3","35","1","2","1","2",""
"0","139","3","7","3","35","1","3","1","3",""
"0","140","3","7","3","35","1","4","1","","4"
"0","141","4","1","4","36","1","1","1","1",""
"0","142","4","1","4","36","1","2","1","2",""
"0","143","4","1","4","36","1","3","1","3",""
"0","144","4","1","4","36","1","4","1","","4"
"0","145","4","2","4","37","1","1","1","1",""
"0","146","4","2","4","37","1","2","1","2","2"
"0","147","4","2","4","37","1","3","1","3",""
"0","148","4","2","4","37","1","4","1","4",""
"0","149","4","3","4","38","1","1","1","1",""
"0","150","4","3","4","38","1","2","1","2",""
"0","151","4","3","4","38","1","3","1","3",""
"0","152","4","3","4","38","1","4","1","","4"
"0","153","4","4","4","39","1","1","1","1",""
"0","154","4","4","4","39","1","2","1","2",""
"0","155","4","4","4","39","1","3","1","","3"
"0","156","4","4","4","39","1","4","1","4",""
"0","157","4","5","4","40","1","1","1","1",""
"0","158","4","5","4","40","1","2","1","2",""
"0","159","4","5","4","40","1","3","1","3",""
"0","160","4","5","4","40","1","4","1","","4"
"0","161","4","6","4","41","1","1","1","1",""
"0","162","4","6","4","41","1","2","1","2",""
"0","163","4","6","4","41","1","3","1","3",""
"0","164","4","6","4","41","1","4","1","","4"
"0","169","5","1","5","43","1","1","1","1",""
"0","170","5","1","5","43","1","2","1","2",""
"0","171","5","1","5","43","1","3","1","3",""
"0","172","5","1","5","43","1","4","1","","4"
"1","1","2","20","1","1","1","3","1","1",""
"1","2","2","20","1","1","1","4","1","","2"
"1","3","2","20","1","1","1","2","1","3",""
"1","4","2","20","1","1","1","1","1","4",""
"1","5","2","9","1","2","1","2","1","1",""
"1","6","2","9","1","2","1","1","1","2",""
"1","7","2","9","1","2","1","4","1","","3"
"1","8","2","9","1","2","1","3","1","4",""
"1","9","2","7","1","3","1","4","1","","1"
"1","10","2","7","1","3","1","1","1","2",""
"1","11","2","7","1","3","1","2","1","3",""
"1","12","2","7","1","3","1","3","1","4",""
"1","13","2","5","1","4","1","3","1","1",""
"1","14","2","5","1","4","1","2","1","","2"
"1","15","2","5","1","4","1","1","1","3",""
"1","16","2","5","1","4","1","4","1","4",""
"1","17","2","19","1","5","1","1","1","1",""
"1","18","2","19","1","5","1","3","1","2",""
"1","19","2","19","1","5","1","4","1","","3"
"1","20","2","19","1","5","1","2","1","4",""
"1","21","4","2","2","6","1","3","1","1",""
"1","22","4","2","2","6","1","2","1","2",""
"1","23","4","2","2","6","1","1","1","3",""
"1","24","4","2","2","6","1","4","1","","4"
"1","25","4","5","2","7","1","3","1","1",""
"1","26","4","5","2","7","1","4","1","","2"
"1","27","4","5","2","7","1","1","1","3",""
"1","28","4","5","2","7","1","2","1","4",""
"1","29","4","7","2","8","1","1","1","1",""
"1","30","4","7","2","8","1","3","1","2",""
"1","31","4","7","2","8","1","4","1","","3"
"1","32","4","7","2","8","1","2","1","4",""
"1","33","1","5","3","9","1","3","1","1",""
"1","34","1","5","3","9","1","2","1","2",""
"1","35","1","5","3","9","1","1","1","3",""
"1","36","1","5","3","9","1","4","1","","4"
"1","37","1","3","3","10","1","3","1","1",""
"1","38","1","3","3","10","1","1","1","2",""
"1","39","1","3","3","10","1","2","1","3",""
"1","40","1","3","3","10","1","4","1","","4"
"1","41","1","1","3","11","1","4","1","","1"
"1","42","1","1","3","11","1","1","1","2",""
"1","43","1","1","3","11","1","2","1","3",""
"1","44","1","1","3","11","1","3","1","4",""
"1","45","5","1","4","12","1","2","1","1",""
"1","46","5","1","4","12","1","3","1","2",""
"1","47","5","1","4","12","1","4","1","","3"
"1","48","5","1","4","12","1","1","1","4",""
"1","49","3","5","5","13","1","4","1","1",""
"1","50","3","5","5","13","1","3","1","2",""
"1","51","3","5","5","13","1","2","1","","3"
"1","52","3","5","5","13","1","1","1","4",""
"1","53","3","4","5","14","1","3","1","1",""
"1","54","3","4","5","14","1","4","1","","2"
"1","55","3","4","5","14","1","2","1","3",""
"1","56","3","4","5","14","1","1","1","4",""
"1","57","3","7","5","15","1","3","1","1",""
"1","58","3","7","5","15","1","2","1","2",""
"1","59","3","7","5","15","1","4","1","","3"
"1","60","3","7","5","15","1","1","1","4",""
