Version,index,questions_original,question_original,questions,question,choices_original,X.choice.CorrectChoice._original,choices,choice,CorrectChoice,ExamAnswerCount
0,1,1,1,1,1,1,1,1,1,,1
0,2,1,1,1,1,1,2,1,2,,1
0,3,1,1,1,1,1,3,1,3,,5
0,4,1,1,1,1,1,4,1,,4,18
0,5,1,2,1,2,1,1,1,1,,1
0,6,1,2,1,2,1,2,1,2,,3
0,7,1,2,1,2,1,3,1,3,,3
0,8,1,2,1,2,1,4,1,,4,14
0,9,1,3,1,3,1,1,1,1,,1
0,10,1,3,1,3,1,2,1,2,,1
0,11,1,3,1,3,1,3,1,3,,1
0,12,1,3,1,3,1,4,1,,4,13
0,13,1,4,1,4,1,1,1,1,,3
0,14,1,4,1,4,1,2,1,2,,2
0,15,1,4,1,4,1,3,1,3,,3
0,16,1,4,1,4,1,4,1,,4,4
0,17,1,5,1,5,1,1,1,1,,1
0,18,1,5,1,5,1,2,1,2,,7
0,19,1,5,1,5,1,3,1,3,,3
0,20,1,5,1,5,1,4,1,,4,8
0,21,1,6,1,6,1,1,1,1,,3
0,22,1,6,1,6,1,2,1,2,,3
0,23,1,6,1,6,1,3,1,3,,1
0,24,1,6,1,6,1,4,1,,4,9
0,25,1,7,1,7,1,1,1,1,,4
0,26,1,7,1,7,1,2,1,2,,0
0,27,1,7,1,7,1,3,1,3,,3
0,28,1,7,1,7,1,4,1,,4,11
0,29,1,8,1,8,1,1,1,1,,1
0,30,1,8,1,8,1,2,1,2,,3
0,31,1,8,1,8,1,3,1,3,,3
0,32,1,8,1,8,1,4,1,,4,13
0,33,2,1,2,9,1,1,1,1,,2
0,34,2,1,2,9,1,2,1,2,,1
0,35,2,1,2,9,1,3,1,3,,3
0,36,2,1,2,9,1,4,1,,4,8
0,37,2,2,2,10,1,1,1,1,,9
0,38,2,2,2,10,1,2,1,2,,1
0,39,2,2,2,10,1,3,1,3,,2
0,40,2,2,2,10,1,4,1,,4,2
0,41,2,3,2,11,1,1,1,1,,4
0,42,2,3,2,11,1,2,1,,2,8
0,43,2,3,2,11,1,3,1,3,,2
0,44,2,3,2,11,1,4,1,4,,1
0,45,2,4,2,12,1,1,1,,1,5
0,46,2,4,2,12,1,2,1,2,,3
0,47,2,4,2,12,1,3,1,3,,2
0,48,2,4,2,12,1,4,1,4,,0
0,49,2,5,2,13,1,1,1,1,,0
0,50,2,5,2,13,1,2,1,,2,6
0,51,2,5,2,13,1,3,1,3,,0
0,52,2,5,2,13,1,4,1,4,,0
0,53,2,6,2,14,1,1,1,1,,0
0,54,2,6,2,14,1,2,1,2,,2
0,55,2,6,2,14,1,3,1,3,,0
0,56,2,6,2,14,1,4,1,,4,8
0,57,2,7,2,15,1,1,1,1,,2
0,58,2,7,2,15,1,2,1,2,,0
0,59,2,7,2,15,1,3,1,3,,0
0,60,2,7,2,15,1,4,1,,4,10
0,61,2,8,2,16,1,1,1,1,,2
0,62,2,8,2,16,1,2,1,2,,3
0,63,2,8,2,16,1,3,1,,3,3
0,64,2,8,2,16,1,4,1,4,,3
0,65,2,9,2,17,1,1,1,1,,0
0,66,2,9,2,17,1,2,1,2,,0
0,67,2,9,2,17,1,3,1,3,,1
0,68,2,9,2,17,1,4,1,,4,10
0,69,2,10,2,18,1,1,1,1,,1
0,70,2,10,2,18,1,2,1,2,,2
0,71,2,10,2,18,1,3,1,3,,1
0,72,2,10,2,18,1,4,1,,4,8
0,73,2,11,2,19,1,1,1,1,,0
0,74,2,11,2,19,1,2,1,2,,0
0,75,2,11,2,19,1,3,1,3,,0
0,76,2,11,2,19,1,4,1,,4,13
0,77,2,12,2,20,1,1,1,1,,6
0,78,2,12,2,20,1,2,1,2,,2
0,79,2,12,2,20,1,3,1,3,,0
0,80,2,12,2,20,1,4,1,,4,3
0,81,2,13,2,21,1,1,1,1,,0
0,82,2,13,2,21,1,2,1,,2,6
