Test data for mulitlocus estimates of F-statistics (from A.J. Gharrett)
Loc1 
Loc2 
Loc3
Pop
0001  PopI,  0101 0101 0101
0002  PopI,  0101 0101 0101
0003  PopI,  0101 0101 0101
0004  PopI,  0101 0101 0101
0005  PopI,  0101 0101 0101
0006  PopI,  0101 0101 0101
0007  PopI,  0101 0101 0101
0008  PopI,  0101 0101 0101
0009  PopI,  0102 0102 0101
0010  PopI,  0102 0102 0101
0011  PopI,  0101 0101 0102
0012  PopI,  0101 0101 0102
0013  PopI,  0101 0101 0102
0014  PopI,  0101 0101 0102
0015  PopI,  0101 0101 0102
0016  PopI,  0101 0101 0102
0017  PopI,  0101 0101 0102
0018  PopI,  0101 0101 0102
0019  PopI,  0101 0101 0102
0020  PopI,  0101 0101 0102
0021  PopI,  0101 0101 0102
0022  PopI,  0101 0101 0102
0023  PopI,  0101 0101 0102
0024  PopI,  0101 0101 0102
0025  PopI,  0101 0101 0102
0026  PopI,  0101 0101 0102
0027  PopI,  0102 0102 0102
0028  PopI,  0102 0102 0102
0029  PopI,  0102 0102 0102
0030  PopI,  0102 0102 0102
0031  PopI,  0101 0101 0202
0032  PopI,  0101 0101 0202
0033  PopI,  0101 0101 0202
0034  PopI,  0101 0101 0202
0035  PopI,  0101 0101 0202
0036  PopI,  0101 0101 0202
0037  PopI,  0101 0101 0202
0038  PopI,  0101 0101 0202
0039  PopI,  0102 0102 0202
0040  PopI,  0102 0102 0202
0041  PopI,  0101 0000 0000
0042  PopI,  0101 0000 0000
0043  PopI,  0101 0000 0000
0044  PopI,  0101 0000 0000
0045  PopI,  0101 0000 0101
0046  PopI,  0101 0000 0101
0047  PopI,  0101 0000 0101
0048  PopI,  0101 0000 0101
0049  PopI,  0102 0000 0000
0050  PopI,  0102 0000 0101
0051  PopI,  0101 0000 0000
0052  PopI,  0101 0000 0000
0053  PopI,  0101 0000 0000
0054  PopI,  0101 0000 0000
0055  PopI,  0101 0000 0000
0056  PopI,  0101 0000 0000
0057  PopI,  0101 0000 0000
0058  PopI,  0101 0000 0000
0059  PopI,  0101 0000 0102
0060  PopI,  0101 0000 0102
0061  PopI,  0101 0000 0102
0062  PopI,  0101 0000 0102
0063  PopI,  0101 0000 0102
0064  PopI,  0101 0000 0102
0065  PopI,  0101 0000 0102
0066  PopI,  0101 0000 0102
0067  PopI,  0102 0000 0000
0068  PopI,  0102 0000 0000
0069  PopI,  0102 0000 0102
0070  PopI,  0102 0000 0102
0071  PopI,  0101 0000 0000
0072  PopI,  0101 0000 0000
