<Phenotype>	trait1	trait2	trait3
B46	42	43.02	44.32
B52	72.5	71.88	72.8
B57	41	41.7	41.42
B64	74.5	74.43	74.5
B68	65	66.4	65.33
B73	83.25	83.72	85.2
B73HTRHM	73	74.53	74.43
B75	56	57.24	58.01
B76	53	55.46	53.61
B77	50	49.62	51.38
B79	66.5	66.13	67.74
CM7	28	30.54	27.57
CML10	110	109.62	112.78
CML103	88.5	89.31	89.63
CML108	55.5	57.06	57.27
CML11	97.25	99	99.21
CML14	80	80.09	80.95
CML154Q	61	62.91	61.69
CML157Q	111.5	113.19	113.39
CML158Q	74	75.13	73.95
CML218	62	62.54	64.97
CML220	44	45.29	44.62
CML228	74	74.47	76.65
CML238	57.5	58.59	60.01
CML247	68.5	70.9	69.58
CML254	70	71.81	71.57
CML258	133	134.89	132.98
CML261	104.17	106.39	105.49
CML264	60.5	61.14	62.54
CML277	82.5	85.17	83.6
CML281	73.5	74.4	74.05
CML287	95	93.86	95.34
CML311	89.25	91.14	90.21
CML314	81.5	82.06	83.57
CML321	82	84.73	82.52
CML322	66.75	70.9	67.63
CML323	63	64.8	62.71
CML328	74.5	75.27	75.99
CML331	59	60.18	61.31
CML332	66.5	66.22	69
CML333	97.5	98.75	99.31
CML341	94.63	95.95	93.76
CML349	55.25	55.51	56.73
CML38	82.5	82.73	83.96
CML45	45	46.77	45.65
CML5	94.25	94.78	95.42
CML52	104.33	104.34	104.47
CML69	76	76.56	77.68
CML77	63	64.52	63.67
CML91	64.5	64.7	63.93
CML92	68	68.17	68.63
CMV3	32.5	33.58	34.86
CO106	34.5	33.58	35.17
CO109	26.5	28.37	28.23
CO125	32.13	31.47	34.08
CO255	38	38.99	39
D940Y	74	74.79	74.65
DE1	64.5	65.38	64.97
DE2	57.5	56.65	59.24
DE3	70	69.28	69.94
DE811	80	82.41	81.25
E2558W	59.5	61.67	60.21
EP1	37.08	37.5	35.82
F2	34	34.37	33.59
F2834T	40	41.02	41.92
F44	94	95.48	94.81
F6	101.5	102.81	103.3
F7	27.5	28.54	30.39
GA209	76.33	75.69	78.8
GT112	136	136.67	137.68
H100	56	56.1	57.38
H105W	44.5	44.08	45.31
H49	58	58.27	60.58
H84	48	47.99	49.6
H91	60	59.83	59.83
H95	55	55.79	55.84
H99	31	33.18	30.08
HI27	93.5	94.66	94.3
HY	56.5	55.89	54.91
I137TN	56.5	57.29	58.81
I205	55	54.96	55.36
K148	42	41.99	42.57
K4	70	70.32	70.83
K55	43	44.93	44.61
K64	69.25	69.87	70.93
KI11	63	63.69	64.57
KI14	95.5	96.26	95.93
KI2007	61	61.64	60.64
KI2021	107	107.5	107.61
KI21	87.5	88.39	88.78
KI3	57.75	59.54	57.93
KI43	59	59.33	59.93
KI44	55	56.45	54.83
KY21	76.5	77.72	77.49
KY226	64	63.4	65.13
KY228	58.38	58.68	NA
L317	98	99.64	98.84
L578	101.5	102.77	104.26
M14	35	35.67	36.76
M162W	63.5	65.36	65.61
M37W	62.88	63.52	62.96
MEF156-55-2	62.5	63.75	63.66
MO17	46	47.36	48.15
MO18W	65.5	64.35	66.44
MO1W	62	62.93	60.87
MO24W	101.5	104.57	102.84
MO44	46	46.58	45.1
MO45	74.33	74.24	74.52
MO46	54.5	57.08	56.82
MO47	36.5	36.41	38.12
MOG	87.88	88.3	89.97
MP339	71.5	71.49	72.81
MS1334	54.5	55.85	55.39
MS153	55	57.81	55.08
MS71	47.5	47.96	50.09
MT42	44.5	46.74	45.55
N192	42.5	44.59	42.78
N28HT	57	56.87	58.87
N6	45	45.93	47.07
N7A	54.5	56.47	57.4
NC222	84.5	84.52	84.9
NC230	57	58.08	57.61
NC232	55	55.76	55.58
NC236	58	58.77	58.62
NC238	43	44.37	43.63
NC250	37	37.97	37.7
NC258	60.5	61.63	62.94
NC260	52.5	52.88	52.8
NC262	25	25.35	25.61
NC264	48	50.07	49.65
NC268	74.38	75.36	76.5
NC290A	34	36.08	34.23
NC292	55.5	59.03	55.99
NC294	74	72.76	75.52
NC296	68.5	70.07	70.52
NC296A	59.5	59.89	60.25
NC298	62	63.55	61.57
NC300	68	68.35	70.71
NC302	53	53.19	55.44
NC304	8	7.86	8.29
NC306	62.88	63.83	63.81
NC308	59.63	60.46	58.87
NC310	60.5	63.72	62.07
NC312	67.5	68.62	70.11
NC314	58	59.15	57.36
NC318	72	72.28	72.22
NC320	83	82.41	83.36
NC322	77.5	80.05	77.82
NC324	56.5	57.88	55.47
NC326	88	90.19	89.5
NC328	60	61.43	59.47
NC33	101	102.24	101.98
NC330	70	71.19	71.59
NC332	76.5	77.72	77.3
NC334	80.5	83.15	82.39
NC336	50.5	52.43	51.47
NC338	71.5	71.64	71.85
NC340	60.5	61.24	62.15
NC342	68	67.88	68.57
NC344	63.5	63.83	66.27
NC346	62	63.19	62.98
NC348	73	71.79	74.85
NC350	49.5	51.66	50.71
NC352	53.5	53.24	51.49
NC354	67	67.18	66.63
NC356	56	56.35	56.58
NC358	41	42.94	42.24
NC360	56	54.96	54.66
NC362	51.5	52.19	53.46
NC364	48.5	51.74	48.9
NC366	58	56.66	58.25
NC368	64.5	67.17	63.94
NC370	70.63	70.3	70.18
NC372	69	NA	70.06
ND246	32.5	33.29	34.01
OH40B	51.5	51.73	50.4
OH43	45	44.79	45
OH43E	31.5	33.12	33.04
OH603	48.5	49.53	49.05
OH7B	87	87.63	90.17
OS420	66	65.69	68.25
PA762	50.5	49.7	52.1
PA875	67	67.46	68
PA880	69.5	70.08	70.78
PA91	63	63.26	63.29
Q6199	NA	69.72	NA
R109B	45	46.55	47.48
R168	57.92	58.13	60
R177	31	30.29	31.19
R229	76	78.13	75.38
U267Y	53.5	54.49	54.39
VA102	47.5	48.66	48.94
VA14	56	55.65	58.35
VA17	49	49.58	48.68
VA22	62.5	64.03	63.86
VA26	41	40.72	42.23
VA35	52	51.87	54.19
VA59	36.5	38.07	37.47
VA85	66	66.98	66.64
VA99	56	58.9	55.85
VAW6	38	39.39	38.48
W117HT	31	32.6	31.64
W153R	27.5	28.8	30.85
W182B	46	46.46	49.45
W22	44	44.69	44.83
W401	35.5	37.21	35.46
W64A	59.5	60.32	58.53
WD	48.5	49.18	50.01
WF9	52	52.28	51.91
33-16	64.75	66.45	68.03
14185	92.25	93.1	92.36
A4226	65.5	63.58	66.61
A4722	81.13	81.52	85.94
A188	27.5	29.94	27.39
A214N	65	64.32	66.31
A239	47.88	49.5	47.77
A272	35.63	34.77	36.98
A441-5	53.5	53.6	53.63
A554	38.5	37.36	39.58
A556	28	29.75	28.7
A6	109.5	110.2	109.32
