<PopStr>			
<ID>	Q1	Q2	Q3
33-16	0.014	0.972	0.014
Nov-38	0.003	0.993	0.004
A4226	0.071	0.917	0.012
A4722	0.035	0.854	0.111
A188	0.013	0.982	0.005
A214N	0.762	0.017	0.221
A239	0.035	0.963	0.002
A272	0.019	0.122	0.859
A441-5	0.005	0.531	0.464
A554	0.019	0.979	0.002
A556	0.004	0.994	0.002
A6	0.003	0.03	0.967
A619	0.009	0.99	0.001
A632	0.993	0.004	0.003
A634	0.897	0.1	0.003
A635	0.825	0.171	0.004
A654	0.517	0.481	0.002
A659	0.083	0.915	0.002
A661	0.006	0.991	0.003
A679	0.111	0.852	0.037
A680	0.862	0.127	0.011
A682	0.993	0.004	0.003
AB28A	0.002	0.997	0.001
B10	0.002	0.776	0.222
B103	0.429	0.57	0.001
B104	0.163	0.829	0.008
B105	0.694	0.305	0.001
B109	0.397	0.566	0.037
B115	0.995	0.003	0.002
B14A	0.061	0.847	0.092
B164	0.998	0.001	0.001
B2	0.233	0.756	0.011
B37	0.007	0.988	0.005
B46	0.997	0.002	0.001
B52	0.214	0.784	0.002
B57	0.012	0.985	0.003
B64	0.002	0.996	0.002
B68	0.988	0.002	0.01
B73	0.998	0.001	0.001
B73HTRHM	0.999	0.001	1.10E-16
B75	0.999	0.001	1.10E-16
B76	0.005	0.993	0.002
B77	0.912	0.087	0.001
B79	0.083	0.915	0.002
B84	0.305	0.693	0.002
B97	0.996	0.003	0.001
C103	0.016	0.981	0.003
C123	0.002	0.997	0.001
C49A	0.047	0.952	0.001
CH701-30	0.143	0.841	0.016
CH9	0.127	0.869	0.004
CI7	0.004	0.993	0.003
CI187-2	0.003	0.992	0.005
CI21E	0.004	0.994	0.002
CI28A	0.006	0.992	0.002
CI31A	0.119	0.866	0.015
CI3A	0.004	0.749	0.247
CI64	0.002	0.994	0.004
CI66	0.083	0.905	0.012
CI90C	0.011	0.988	0.001
CI91B	0.012	0.986	0.002
CM105	0.011	0.935	0.054
CM174	0.003	0.737	0.26
CM37	0.002	0.997	0.001
CM7	0.995	0.004	0.001
CML10	0.997	0.002	0.001
CML103	0.013	0.969	0.018
CML108	0.059	0.939	0.002
CML11	0.002	0.002	0.996
CML14	0.003	0.005	0.992
CML154Q	0.002	0.099	0.899
CML157Q	0.003	0.002	0.995
CML158Q	0.001	0.001	0.998
CML218	0.002	0.005	0.993
CML220	0.004	0.018	0.978
CML228	0.01	0.018	0.972
CML238	0.01	0.301	0.689
CML247	0.059	0.053	0.888
CML254	0.003	0.002	0.995
CML258	0.001	0.004	0.995
CML261	0.003	0.006	0.991
CML264	0.001	0.006	0.993
CML277	0.001	0.002	0.997
CML281	0.016	0.004	0.98
CML287	0.002	0.001	0.997
CML311	0.001	0.004	0.995
CML314	0.023	0.046	0.931
CML321	0.004	0.022	0.974
CML322	0.004	0.114	0.882
CML323	0.003	0.002	0.995
CML328	0.027	0.008	0.965
CML331	0.01	0.005	0.985
CML332	0.007	0.34	0.653
CML333	0.002	0.357	0.641
CML341	0.002	0.003	0.995
CML38	0.002	0.003	0.995
CML45	0.013	0.029	0.958
CML5	0.002	0.004	0.994
CML52	0.006	0.165	0.829
CML69	0.001	0.002	0.997
CML77	0.001	0.002	0.997
CML91	0.001	0.034	0.965
CML92	0.002	0.01	0.988
CMV3	0.002	0.004	0.994
CO106	0.006	0.028	0.966
CO125	0.005	0.302	0.693
CO255	0.014	0.001	0.985
D940Y	0.015	0.218	0.767
DE2	0.096	0.275	0.629
DE3	0.147	0.847	0.006
DE1	0.016	0.973	0.011
DE811	0.013	0.928	0.059
E2558W	0.021	0.967	0.012
EP1	0.009	0.647	0.344
F2834T	0.004	0.614	0.382
