depth	min	max	median	mean
0	-69	-68	-69	-68
1	-67	-67	-67	-67
2	-66	-65	-66	-66
3	-64	-64	-64	-64
4	-62	-62	-62	-62
5	-60	-59	-60	-60
6	-58	-57	-57	-57
7	-56	-54	-55	-55
8	-53	-52	-52	-52
9	-51	-49	-50	-50
10	-48	-46	-47	-47
11	-46	-44	-45	-45
12	-44	-41	-42	-42
13	-41	-39	-40	-40
14	-39	-36	-37	-37
15	-36	-33	-35	-35
16	-34	-30	-32	-32
17	-31	-27	-29	-29
18	-28	-24	-26	-26
19	-26	-21	-23	-23
20	-22	-16	-19	-19
21	-14	-9	-11	-11
22	-3	4	1	1
23	12	22	18	18
24	30	49	42	41
25	40	69	58	57
26	46	85	70	68
27	50	104	80	79
28	54	127	90	90
29	58	147	99	100
