response time_RE intercept time x1 x2
7.143419 0 1 0 0 0
8.460538 0 1 0 1 0
6.680423 0.5 1 0.5 1 0.5
9.165576 1 1 1 1 1
8.502162 0 1 0 0 0
7.194571 0 1 0 1 0
9.08131 0.5 1 0.5 1 0.5
9.478174 1 1 1 1 1
8.1318 1.5 1 1.5 1 1.5
2.812791 0 1 0 1 0
9.122849 0 1 0 0 0
12.948632 0.5 1 0.5 0 0
14.617275 1 1 1 0 0
9.276288 1.5 1 1.5 0 0
9.160655 0 1 0 0 0
9.872875 0.5 1 0.5 0 0
13.909737 1 1 1 0 0
11.047663 1.5 1 1.5 0 0
10.030971 0 1 0 0 0
12.1329 0.5 1 0.5 0 0
5.413256 0 1 0 1 0
13.099809 0.5 1 0.5 1 0.5
10.95789 1 1 1 1 1
14.194353 1.5 1 1.5 1 1.5
8.203285 0 1 0 0 0
10.118941 0.5 1 0.5 0 0
13.965538 1 1 1 0 0
11.81934 1.5 1 1.5 0 0
7.651753 0 1 0 0 0
9.943691 0.5 1 0.5 0 0
7.466338 0 1 0 1 0
6.900604 0.5 1 0.5 1 0.5
9.369765 1 1 1 1 1
8.303116 1.5 1 1.5 1 1.5
5.681659 2 1 2 1 2
7.530214 2.5 1 2.5 1 2.5
12.858376 0 1 0 0 0
11.684325 0.5 1 0.5 0 0
8.335715 0 1 0 0 0
6.15597 0 1 0 1 0
8.929638 0.5 1 0.5 1 0.5
10.406656 1 1 1 1 1
15.974406 1.5 1 1.5 1 1.5
12.290913 2 1 2 1 2
14.253388 0 1 0 0 0
12.028737 0 1 0 0 0
8.802762 0 1 0 0 0
7.454742 0 1 0 1 0
8.513044 0.5 1 0.5 1 0.5
9.471611 1 1 1 1 1
14.584172 1.5 1 1.5 1 1.5
6.706083 2 1 2 1 2
6.664797 2.5 1 2.5 1 2.5
11.976636 3 1 3 1 3
11.334564 3.5 1 3.5 1 3.5
8.457562 0 1 0 1 0
8.495478 0.5 1 0.5 1 0.5
8.377059 1 1 1 1 1
9.026563 1.5 1 1.5 1 1.5
10.406382 2 1 2 1 2
7.435271 2.5 1 2.5 1 2.5
12.16692 0 1 0 0 0
8.151474 0.5 1 0.5 0 0
7.994382 0 1 0 1 0
8.880153 0.5 1 0.5 1 0.5
10.646639 1 1 1 1 1
7.40722 1.5 1 1.5 1 1.5
6.803321 2 1 2 1 2
5.366781 2.5 1 2.5 1 2.5
10.405582 3 1 3 1 3
7.488004 3.5 1 3.5 1 3.5
6.073746 4 1 4 1 4
10.994895 4.5 1 4.5 1 4.5
4.400167 5 1 5 1 5
8.004966 0 1 0 1 0
7.135284 0.5 1 0.5 1 0.5
4.920765 1 1 1 1 1
6.132134 1.5 1 1.5 1 1.5
7.500317 2 1 2 1 2
5.593033 2.5 1 2.5 1 2.5
10.056833 3 1 3 1 3
6.59161 3.5 1 3.5 1 3.5
5.71777 4 1 4 1 4
9.251766 0 1 0 1 0
8.507432 0.5 1 0.5 1 0.5
8.989827 0 1 0 0 0
7.332265 0.5 1 0.5 0 0
8.356015 0 1 0 0 0
11.903385 0.5 1 0.5 0 0
13.348925 1 1 1 0 0
12.38609 1.5 1 1.5 0 0
13.196748 2 1 2 0 0
9.620795 2.5 1 2.5 0 0
12.219755 0 1 0 0 0
6.879415 0.5 1 0.5 0 0
14.159307 1 1 1 0 0
8.225851 0 1 0 1 0
3.698441 0.5 1 0.5 1 0.5
10.842568 1 1 1 1 1
10.388267 1.5 1 1.5 1 1.5
12.438368 2 1 2 1 2
9.854351 0 1 0 1 0
9.041623 0.5 1 0.5 1 0.5
9.97358 1 1 1 1 1
7.692497 1.5 1 1.5 1 1.5
9.359468 2 1 2 1 2
12.350359 2.5 1 2.5 1 2.5
3.844723 3 1 3 1 3
7.313532 3.5 1 3.5 1 3.5
6.653481 4 1 4 1 4
5.683543 0 1 0 0 0
11.048291 0.5 1 0.5 0 0
9.440305 1 1 1 0 0
12.71115 1.5 1 1.5 0 0
14.516465 2 1 2 0 0
8.139107 2.5 1 2.5 0 0
9.167016 3 1 3 0 0
13.873484 3.5 1 3.5 0 0
