"","pkg.name","fun.name","arg.types","arg.names"
"1","ADMM","multipleinversion","c(""arma::mat "", ""double "", ""arma::mat "", ""arma::mat "", ""arma::vec "")","c("" A"", "" rho"", "" L"", "" R"", "" lambda2"")"
"2","ADMM","admm_tv","c(""const arma::colvec& "", ""arma::colvec& "", ""const double "", ""const double "", ""const double "", ""const int "", ""const double "", ""const double "")","c("" b"", "" xinit"", "" lambda"", "" reltol"", "" abstol"", "" maxiter"", "" rho"", "" alpha"")"
"3","ADMM","admm_bp","c(""const arma::mat& "", ""const arma::colvec& "", ""arma::colvec& "", ""const double "", ""const double "", ""const int "", ""const double "", ""const double "")","c("" A"", "" b"", "" xinit"", "" reltol"", "" abstol"", "" maxiter"", "" rho"", "" alpha"")"
"4","ADMM","admm_enet","c(""const arma::mat& "", ""const arma::colvec& "", ""const double "", ""const double "", ""const double "", ""const double "", ""const int "", ""const double "")","c("" A"", "" b"", "" lambda"", "" alpha"", "" reltol"", "" abstol"", "" maxiter"", "" rho"")"
"5","ADMM","admm_genlasso","c(""const arma::mat& "", ""const arma::colvec& "", ""const arma::mat& "", ""const double "", ""const double "", ""const double "", ""const int "", ""const double "")","c("" A"", "" b"", "" D"", "" lambda"", "" reltol"", "" abstol"", "" maxiter"", "" rho"")"
"6","ADMM","admm_lad","c(""const arma::mat& "", ""const arma::colvec& "", ""arma::colvec& "", ""const double "", ""const double "", ""const int "", ""const double "", ""const double "")","c("" A"", "" b"", "" xinit"", "" reltol"", "" abstol"", "" maxiter"", "" rho"", "" alpha"")"
"7","ADMM","admm_lasso","c(""const arma::mat& "", ""const arma::colvec& "", ""const double "", ""arma::colvec& "", ""const double "", ""const double "", ""const int "", ""const double "", ""const double "")","c("" A"", "" b"", "" lambda"", "" xinit"", "" reltol"", "" abstol"", "" maxiter"", "" rho"", "" alpha"")"
"8","ADMM","admm_rpca","c(""const arma::mat& "", ""const double "", ""const int "", ""double "", ""double "")","c("" M"", "" tol"", "" maxiter"", "" mu"", "" lambda"")"
"9","ADMM","admm_spca","c(""const arma::mat& "", ""const double "", ""const double "", ""const int "", ""double "", ""double "")","c("" Sigma"", "" reltol"", "" abstol"", "" maxiter"", "" mu"", "" rho"")"
"10","ADMM","admm_sdp","c(""arma::mat& "", ""arma::field<arma::mat>& "", ""arma::vec "", ""double "", ""double "", ""double "", ""int "", ""double "", ""bool "")","c("" C"", "" listA"", "" b"", "" mymu"", "" myrho"", "" mygamma"", "" maxiter"", "" abstol"", "" printer"")"
"11","APML0","scaleC","Eigen::MatrixXd "," X"
"12","APML0","OmegaC","c(""Eigen::MatrixXd& "", ""Eigen::VectorXi& "")","c("" Omega"", "" sgn"")"
"13","APML0","OmegaSC","c(""Eigen::SparseMatrix<double>& "", ""Eigen::VectorXi& "")","c("" OmegaS"", "" sgn"")"
"14","APML0","maxLambdaLmC","c(""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""double "", ""Eigen::VectorXd "", ""int "", ""int "")","c("" X"", "" y"", "" alpha"", "" wbeta"", "" N0"", "" p"")"
"15","APML0","cvTrimLmC","c(""Eigen::VectorXd "", ""int "", ""int "", ""Eigen::VectorXi "", ""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""int "", ""int "", ""Eigen::MatrixXd "", ""Eigen::VectorXd "", ""int "")","c("" beta"", "" nn"", "" nn2"", "" loco"", "" X"", "" y"", "" N"", "" p"", "" XF"", "" yF"", "" NF"")"
